code,seq,name,category,law,law_url,article,article_url,cycle,ministry,planner,scope,level,verified,source,note,order
EP-011,11,시‧군‧구 탄소중립 녹색성장 기본계획,기본계획,기후위기 대응을 위한 탄소중립·녹색성장 기본법,https://www.law.go.kr/법령/기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법,제12조,"https://www.law.go.kr/법령/기후위기대응을위한탄소중립ㆍ녹색성장기본법/(20260602,21738,20260602)/제12조",5년,시·군·구,시장ㆍ군수ㆍ구청장,시군구,기초(시·군·구),1,neins,지자체별 개별 수립,1011
EP-012,12,녹색건축물 전환 이행계획,기타,기후위기 대응을 위한 탄소중립·녹색성장 기본법,https://www.law.go.kr/법령/기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법,제31조,"https://www.law.go.kr/법령/기후위기대응을위한탄소중립ㆍ녹색성장기본법/(20260602,21738,20260602)/제31조",미규정,정부(관계부처 합동),정부,,국가,,neins,,7012
EP-013,13,국가 기후위기 적응대책,기타,기후위기 대응을 위한 탄소중립·녹색성장 기본법,https://www.law.go.kr/법령/기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법,제38조,"https://www.law.go.kr/법령/기후위기대응을위한탄소중립ㆍ녹색성장기본법/(20260602,21738,20260602)/제38조",5년,정부(관계부처 합동),정부,전국,국가,,neins,,7013
EP-014,14,적응대책세부시행계획,시행계획,기후위기 대응을 위한 탄소중립·녹색성장 기본법,https://www.law.go.kr/법령/기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법,제38조,"https://www.law.go.kr/법령/기후위기대응을위한탄소중립ㆍ녹색성장기본법/(20260602,21738,20260602)/제38조",미규정,정부(관계부처 합동),관련 중앙행정기관의 장,전국,국가,,neins,,3014
EP-015,15,시‧도 생태‧경관보전지역,기타,자연환경보전법,https://www.law.go.kr/법령/자연환경보전법,제23조,"https://www.law.go.kr/법령/자연환경보전법/(20260701,21447,20260305)/제23조",미규정,지방자치단체,시ㆍ도지사,시도,광역(시·도),,neins,,7015
EP-016,16,가축분뇨관리기본계획,기본계획,가축분뇨의 관리 및 이용에 관한 법률,https://www.law.go.kr/법령/가축분뇨의 관리 및 이용에 관한 법률,제5조,"https://www.law.go.kr/법령/가축분뇨의관리및이용에관한법률/(20251001,21065,20251001)/제5조",10년,시·도,시ㆍ도지사ㆍ특별자치시장ㆍ특별자치도지사,시도,광역(시·도),1,neins,지자체 계획. 국가 단위 「가축분뇨의 관리에 관한 기본계획」은 제2차 2026~2035,1016
EP-017,17,가축분뇨관리세부계획,세부계획,가축분뇨의 관리 및 이용에 관한 법률,https://www.law.go.kr/법령/가축분뇨의 관리 및 이용에 관한 법률,제5조,"https://www.law.go.kr/법령/가축분뇨의관리및이용에관한법률/(20251001,21065,20251001)/제5조",5년,지방자치단체,시장ㆍ군수ㆍ구청장,시도,기초(시·군·구),,neins,,5017
EP-018,18,수변구역관리 기본계획,기본계획,금강수계 물관리 및 주민지원 등에 관한 법률,https://www.law.go.kr/법령/금강수계 물관리 및 주민지원 등에 관한 법률,제4조의2,"https://www.law.go.kr/법령/금강수계물관리및주민지원등에관한법률/(20251001,21065,20251001)/제4조의2",5년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,금강수계,1018
EP-019,19,수변생태벨트 시행계획,시행계획,금강수계 물관리 및 주민지원 등에 관한 법률,https://www.law.go.kr/법령/금강수계 물관리 및 주민지원 등에 관한 법률,제4조의3,"https://www.law.go.kr/법령/금강수계물관리및주민지원등에관한법률/(20251001,21065,20251001)/제4조의3",미규정,기후에너지환경부,기후에너지환경부장관,,국가,,neins,,3019
EP-020,20,수변구역관리기본계획,기본계획,낙동강수계 물관리 및 주민지원 등에 관한 법률,https://www.law.go.kr/법령/낙동강수계 물관리 및 주민지원 등에 관한 법률,제4조의2,"https://www.law.go.kr/법령/낙동강수계물관리및주민지원등에관한법률/(20251001,21065,20251001)/제4조의2",5년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,낙동강수계,1020
EP-021,21,수변생태벨트 시행계획,시행계획,낙동강수계 물관리 및 주민지원 등에 관한 법률,https://www.law.go.kr/법령/낙동강수계 물관리 및 주민지원 등에 관한 법률,제4조의3,"https://www.law.go.kr/법령/낙동강수계물관리및주민지원등에관한법률/(20251001,21065,20251001)/제4조의3",미규정,기후에너지환경부,기후에너지환경부장관,,국가,,neins,,3021
EP-022,22,수변구역관리기본계획,기본계획,영산강·섬진강수계 물관리 및 주민지원 등에 관한 법률,https://www.law.go.kr/법령/영산강·섬진강수계 물관리 및 주민지원 등에 관한 법률,제4조의2,"https://www.law.go.kr/법령/영산강ㆍ섬진강수계물관리및주민지원등에관한법률/(20260701,21446,20260305)/제4조의2",5년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,영산강·섬진강수계,1022
EP-023,23,수변생태벨트 시행계획,시행계획,영산강·섬진강수계 물관리 및 주민지원 등에 관한 법률,https://www.law.go.kr/법령/영산강·섬진강수계 물관리 및 주민지원 등에 관한 법률,제4조의3,"https://www.law.go.kr/법령/영산강ㆍ섬진강수계물관리및주민지원등에관한법률/(20260701,21446,20260305)/제4조의3",미규정,기후에너지환경부,기후에너지환경부장관,,국가,,neins,,3023
EP-024,24,수변구역관리기본계획,기본계획,한강수계 상수원 수질개선 및 주민지원 등에 관한 법률,https://www.law.go.kr/법령/한강수계 상수원 수질개선 및 주민지원 등에 관한 법률,제4조의2,"https://www.law.go.kr/법령/한강수계상수원수질개선및주민지원등에관한법률/(20251001,21065,20251001)/제4조의2",5년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,한강수계,1024
EP-025,25,수변생태벨트 시행계획,시행계획,한강수계 상수원 수질개선 및 주민지원 등에 관한 법률,https://www.law.go.kr/법령/한강수계 상수원 수질개선 및 주민지원 등에 관한 법률,제4조의3,"https://www.law.go.kr/법령/한강수계상수원수질개선및주민지원등에관한법률/(20251001,21065,20251001)/제4조의3",미규정,기후에너지환경부,기후에너지환경부장관,,국가,,neins,,3025
EP-026,26,남극연구활동진흥기본계획,기본계획,남극활동 및 환경보호에 관한 법률,https://www.law.go.kr/법령/남극활동 및 환경보호에 관한 법률,제21조,"https://www.law.go.kr/법령/남극활동및환경보호에관한법률/(20251001,21065,20251001)/제21조",5년,해양수산부·외교부,정부,,국가,1,neins,,1026
EP-027,27,녹색융합클러스터 기본계획,기본계획,녹색융합클러스터의 조성 및 육성에 관한 법률,https://www.law.go.kr/법령/녹색융합클러스터의 조성 및 육성에 관한 법률,제6조,"https://www.law.go.kr/법령/녹색융합클러스터의조성및육성에관한법률/(20251001,21065,20251001)/제6조",5년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,2023년 최초 수립,1027
EP-028,28,녹색제품구매촉진기본계획,기본계획,녹색제품 구매촉진에 관한 법률,https://www.law.go.kr/법령/녹색제품 구매촉진에 관한 법률,제4조,"https://www.law.go.kr/법령/녹색제품구매촉진에관한법률/(20251001,21065,20251001)/제4조",5년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,제5차(2026~2030) 미공표,1028
EP-029,29,특정도서보전 기본계획,기본계획,독도 등 도서지역의 생태계 보전에 관한 특별법,https://www.law.go.kr/법령/독도 등 도서지역의 생태계 보전에 관한 특별법,제5조,"https://www.law.go.kr/법령/독도등도서지역의생태계보전에관한특별법/(20251001,21065,20251001)/제5조",10년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,제3차 미공표 — 계획기간 종료,1029
EP-030,30,동물원 및 수족관 관리 종합계획,종합계획,동물원 및 수족관의 관리에 관한 법률,https://www.law.go.kr/법령/동물원 및 수족관의 관리에 관한 법률,제5조,"https://www.law.go.kr/법령/동물원및수족관의관리에관한법률/(20251001,21065,20251001)/제5조",5년,기후에너지환경부·해양수산부,기후에너지환경부장관ㆍ해양수산부,전국,국가,1,neins,,30
EP-031,31,대기환경개선 종합계획,종합계획,대기환경보전법,https://www.law.go.kr/법령/대기환경보전법,제11조,"https://www.law.go.kr/법령/대기환경보전법/(20260707,21843,20260707)/제11조",10년,기후에너지환경부,기후에너지환경부장관,전국,국가,1,neins,,31
EP-032,32,대기환경관리 기본계획,기본계획,대기관리권역의 대기환경개선에 관한 특별법,https://www.law.go.kr/법령/대기관리권역의 대기환경개선에 관한 특별법,제9조,"https://www.law.go.kr/법령/대기관리권역의 대기환경개선에 관한 특별법/(20251001,21065,20251001)/제9조",5년,기후에너지환경부,기후에너지환경부장관,시도,국가,1,neins,권역별 수립(수도권·중부권·남부권·동남권). 구 「수도권 대기환경개선 특별법」 계보는 별도,1032
EP-033,33,대기환경관리 시행계획,시행계획,대기관리권역의 대기환경개선에 관한 특별법,https://www.law.go.kr/법령/대기관리권역의 대기환경개선에 관한 특별법,제10조,"https://www.law.go.kr/법령/대기관리권역의 대기환경개선에 관한 특별법/(20251001,21065,20251001)/제10조",미규정,지방자치단체,시ㆍ도지사,시도,광역(시·도),,neins,,3033
EP-034,34,댐관리 기본계획,기본계획,댐건설ㆍ관리 및 주변지역지원 등에 관한 법률,https://www.law.go.kr/법령/댐건설관리및 주변지역지원 등에 관한 법률,제4조,"https://www.law.go.kr/법령/댐건설ㆍ관리및주변지역지원등에관한법률/(20260102,21065,20251001)/제4조",10년,기후에너지환경부,기후에너지환경부장관,전국,국가,1,neins,댐건설관리법 개정(2021) 후 최초 수립,1034
EP-035,35,댐건설 실시계획,실시계획,댐건설ㆍ관리 및 주변지역지원 등에 관한 법률,https://www.law.go.kr/법령/댐건설관리및 주변지역지원 등에 관한 법률,제12조,"https://www.law.go.kr/법령/댐건설ㆍ관리및주변지역지원등에관한법률/(20260102,21065,20251001)/제12조",미규정,기타 수립주체,댐건설사업시행자,,개별시설·사업,,neins,,4035
EP-036,36,국민신탁 기본계획,기본계획,문화유산과 자연환경자산에 관한 국민신탁법,https://www.law.go.kr/법령/문화유산과 자연환경자산에 관한 국민신탁법,제5조,"https://www.law.go.kr/법령/문화유산과자연환경자산에관한국민신탁법/(20251001,21065,20251001)/제5조",10년,국민신탁법인,국민신탁법인,전국,개별시설·사업,1,neins,공표 자료 확인 불가,1036
EP-037,37,시행계획,시행계획,문화유산과 자연환경자산에 관한 국민신탁법,https://www.law.go.kr/법령/문화유산과 자연환경자산에 관한 국민신탁법,제6조,"https://www.law.go.kr/법령/문화유산과자연환경자산에관한국민신탁법/(20251001,21065,20251001)/제6조",1년,기타 수립주체,국민신탁법인,전국,개별시설·사업,,neins,,3037
EP-038,38,국가물관리기본계획,기본계획,물관리기본법,https://www.law.go.kr/법령/물관리기본법,제27조,"https://www.law.go.kr/법령/물관리기본법/(20260102,21065,20251001)/제27조",10년,기후에너지환경부,기후에너지환경부장관,전국,국가,1,neins,2021년 최초 수립(변경계획 포함),1038
EP-039,39,유역물관리종합계획,종합계획,물관리기본법,https://www.law.go.kr/법령/물관리기본법,제28조,"https://www.law.go.kr/법령/물관리기본법/(20260102,21065,20251001)/제28조",10년,유역물관리위원회,유역물관리위원회 위원장,,유역·권역,1,neins,한강·낙동강·금강·영산강섬진강 4개 유역 (2023.10~11 확정),39
EP-040,40,물관리기술 발전 및 물산업 진흥 기본계획,기본계획,물관리기술 발전 및 물산업 진흥에 관한 법률,https://www.law.go.kr/법령/물관리기술 발전 및 물산업 진흥에 관한 법률,제5조,"https://www.law.go.kr/법령/물관리기술 발전 및 물산업 진흥에 관한 법률/(20260708,21528,20260407)/제5조",5년,기후에너지환경부,정부,,국가,1,neins,제2차는 환경부 고시 제2024-64호,1040
EP-041,41,물 재이용 기본계획,기본계획,물의 재이용 촉진 및 지원에 관한 법률,https://www.law.go.kr/법령/물의 재이용 촉진 및 지원에 관한 법률,제5조,"https://www.law.go.kr/법령/물의재이용촉진및지원에관한법률/(20260609,21779,20260609)/제5조",10년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,,1041
EP-042,42,물 재이용 관리계획,관리계획,물의 재이용 촉진 및 지원에 관한 법률,https://www.law.go.kr/법령/물의 재이용 촉진 및 지원에 관한 법률,제6조,"https://www.law.go.kr/법령/물의재이용촉진및지원에관한법률/(20260609,21779,20260609)/제6조",미규정,지방자치단체,특별시장ㆍ광역시장ㆍ특별자치시장ㆍ제주특별자치도지사ㆍ시장ㆍ군수,시군구,광역·기초,,neins,,2042
EP-043,43,오염총량관리기본계획,기본계획,물환경보전법,https://www.law.go.kr/법령/물환경보전법,제4조의3,"https://www.law.go.kr/법령/물환경보전법/(20260219,21368,20260219)/제4조의3",미규정,시·도,시ㆍ도지사,시도,광역(시·도),1,neins,수계 구간별 개별 수립,1043
EP-044,44,오염총량관리시행계획,시행계획,물환경보전법,https://www.law.go.kr/법령/물환경보전법,제4조의4,"https://www.law.go.kr/법령/물환경보전법/(20260219,21368,20260219)/제4조의4",미규정,지방자치단체,특별시장ㆍ광역시장ㆍ특별자치시장ㆍ특별자치도지사ㆍ시장ㆍ군수,,광역·기초,,neins,,3044
EP-045,45,국가 물환경관리기본계획,기본계획,물환경보전법,https://www.law.go.kr/법령/물환경보전법,제23조의2,"https://www.law.go.kr/법령/물환경보전법/(20260219,21368,20260219)/제23조의2",10년,기후에너지환경부,기후에너지환경부장관,전국,국가,1,neins,제1차 명칭은 「물환경관리종합계획」. 제3차 미공표 — 계획기간 종료,1045
EP-046,46,대권역 물환경관리계획,관리계획,물환경보전법,https://www.law.go.kr/법령/물환경보전법,제24조,"https://www.law.go.kr/법령/물환경보전법/(20260219,21368,20260219)/제24조",10년,기후에너지환경부 소속기관,유역환경청장,,유역·권역,,neins,,2046
EP-047,47,중권역 물환경관리계획,관리계획,물환경보전법,https://www.law.go.kr/법령/물환경보전법,제25조,"https://www.law.go.kr/법령/물환경보전법/(20260219,21368,20260219)/제25조",미규정,기후에너지환경부 소속기관,지방환경관서의 장,,유역·권역,,neins,,2047
EP-048,48,소권역 물환경관리계획,관리계획,물환경보전법,https://www.law.go.kr/법령/물환경보전법,제26조,"https://www.law.go.kr/법령/물환경보전법/(20260219,21368,20260219)/제26조",미규정,지방자치단체,특별자치시장ㆍ특별자치도지사ㆍ시장ㆍ군수ㆍ구청장,,광역·기초,,neins,,2048
EP-049,49,공공폐수처리시설 기본계획,기본계획,물환경보전법,https://www.law.go.kr/법령/물환경보전법,제49조,"https://www.law.go.kr/법령/물환경보전법/(20260219,21368,20260219)/제49조",미규정,시설 설치·운영자,기후에너지환경부장관,,개별시설·사업,1,neins,시설별 개별 수립(승인),1049
EP-050,50,비점오염원 관리 종합대책,종합계획,물환경보전법,https://www.law.go.kr/법령/물환경보전법,제53조의5,"https://www.law.go.kr/법령/물환경보전법/(20260219,21368,20260219)/제53조의5",5년,기후에너지환경부,기후에너지환경부장관,전국,국가,1,neins,정식 명칭 「강우유출 비점오염원관리 종합대책」 — 제4차 미공표,50
EP-051,51,미세먼지관리종합계획,종합계획,미세먼지 저감 및 관리에 관한 특별법,https://www.law.go.kr/법령/미세먼지 저감 및 관리에 관한 특별법,제7조,"https://www.law.go.kr/법령/미세먼지저감및관리에관한특별법/(20260127,21316,20260127)/제7조",5년,정부(관계부처 합동),정부,전국,국가,1,neins,,51
EP-052,52,미세먼지관리시행계획,시행계획,미세먼지 저감 및 관리에 관한 특별법,https://www.law.go.kr/법령/미세먼지 저감 및 관리에 관한 특별법,제8조,"https://www.law.go.kr/법령/미세먼지저감및관리에관한특별법/(20260127,21316,20260127)/제8조",1년,지방자치단체,시ㆍ도지사,시도,광역(시·도),,neins,,3052
EP-053,53,백두대간보호 기본계획,기본계획,백두대간 보호에 관한 법률,https://www.law.go.kr/법령/백두대간 보호에 관한 법률,제4조,"https://www.law.go.kr/법령/백두대간보호에관한법률/(20251001,21065,20251001)/제4조",10년,산림청,산림청장,,국가,1,neins,,1053
EP-054,54,백두대간보호 시행계획,시행계획,백두대간 보호에 관한 법률,https://www.law.go.kr/법령/백두대간 보호에 관한 법률,제5조,"https://www.law.go.kr/법령/백두대간보호에관한법률/(20251001,21065,20251001)/제5조",1년,산림청,산림청장,,국가,,neins,,3054
EP-055,55,국가생물다양성전략,기타,생물다양성 보전 및 이용에 관한 법률,https://www.law.go.kr/법령/생물다양성 보전 및 이용에 관한 법률,제7조,"https://www.law.go.kr/법령/생물다양성보전및이용에관한법률/(20251001,21065,20251001)/제7조",5년,정부(관계부처 합동),정부,전국,국가,,neins,,7055
EP-056,56,국가생물다양성전략 시행계획,시행계획,생물다양성 보전 및 이용에 관한 법률,https://www.law.go.kr/법령/생물다양성 보전 및 이용에 관한 법률,제8조,"https://www.law.go.kr/법령/생물다양성보전및이용에관한법률/(20251001,21065,20251001)/제8조",1년,정부(관계부처 합동),관계 중앙행정기관의 장,전국,국가,,neins,,3056
EP-057,57,생활화학제품 및 살생물제 관리에 관한 종합계획,종합계획,생활화학제품 및 살생물제의 안전관리에 관한 법률,https://www.law.go.kr/법령/생활화학제품 및 살생물제의 안전관리에 관한 법률,제4조,"https://www.law.go.kr/법령/생활화학제품및살생물제의안전관리에관한법률/(20260701,21310,20251231)/제4조",5년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,,57
EP-058,58,석면관리 기본계획,기본계획,석면안전관리법,https://www.law.go.kr/법령/석면안전관리법,제5조,"https://www.law.go.kr/법령/석면안전관리법/(20251001,21065,20251001)/제5조",5년,정부(관계부처 합동),정부,,국가,1,neins,,1058
EP-059,59,소음·진동관리종합계획,종합계획,소음·진동관리법,https://www.law.go.kr/법령/소음진동관리법,제2조의3,"https://www.law.go.kr/법령/소음ㆍ진동관리법/(20251001,21065,20251001)/제2조의3",5년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,제1·2차 명칭은 「생활소음 줄이기 종합대책」,59
EP-060,60,국가수도기본계획,기본계획,수도법,https://www.law.go.kr/법령/수도법,제4조,"https://www.law.go.kr/법령/수도법/(20251001,21065,20251001)/제4조",10년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,2024.6·2025.12 부분변경,1060
EP-061,61,수도정비계획,기타,수도법,https://www.law.go.kr/법령/수도법,제5조,"https://www.law.go.kr/법령/수도법/(20251001,21065,20251001)/제5조",10년,기후에너지환경부,기후에너지환경부장관,,국가,,neins,,7061
EP-062,62,수자원장기종합계획,종합계획,수자원의 조사·계획 및 관리에 관한 법률,https://www.law.go.kr/법령/수자원의 조사 계획 및 관리에 관한 법률,제17조,"https://www.law.go.kr/법령/수자원의조사ㆍ계획및관리에관한법률/(20251001,21065,20251001)/제17조",20년,국토교통부→기후에너지환경부,국토교통부장관,전국,국가,1,neins,2011년 수정계획 이후 갱신 없음 — 국가물관리기본계획이 사실상 대체,62
EP-063,63,습지보전기본계획,기본계획,습지보전법,https://www.law.go.kr/법령/습지보전법,제5조,"https://www.law.go.kr/법령/습지보전법/(20251001,21065,20251001)/제5조",5년,기후에너지환경부·해양수산부,기후에너지환경부장관ㆍ해양수산부장관,전국,국가,1,neins,,1063
EP-064,64,습지보전실천계획,실천계획,습지보전법,https://www.law.go.kr/법령/습지보전법,제5조,"https://www.law.go.kr/법령/습지보전법/(20251001,21065,20251001)/제5조",미규정,지방자치단체,시ㆍ도지사,시도,광역(시·도),,neins,,6064
EP-065,65,실내공기질 관리 기본계획,기본계획,실내공기질 관리법,https://www.law.go.kr/법령/실내공기질 관리법,제4조의3,"https://www.law.go.kr/법령/실내공기질관리법/(20260326,21065,20251001)/제4조의3",5년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,,1065
EP-066,66,악취방지계획,기타,악취방지법,https://www.law.go.kr/법령/악취방지법,제8조,"https://www.law.go.kr/법령/악취방지법/(20251001,21065,20251001)/제8조",10년,기후에너지환경부,기후에너지환경부장관,,국가,,neins,,7066
EP-067,67,야생생물 보호 기본계획,기본계획,야생생물 보호 및 관리에 관한 법률,https://www.law.go.kr/법령/야생생물 보호 및 관리에 관한 법률,제5조,"https://www.law.go.kr/법령/야생생물보호및관리에관한법률/(20260512,21126,20251111)/제5조",5년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,제1차 명칭은 「야생동·식물보호 기본계획」,1067
EP-068,68,야생생물 보호 세부계획,세부계획,야생생물 보호 및 관리에 관한 법률,https://www.law.go.kr/법령/야생생물 보호 및 관리에 관한 법률,제5조,"https://www.law.go.kr/법령/야생생물보호및관리에관한법률/(20260512,21126,20251111)/제5조",미규정,지방자치단체,시ㆍ도지사,시도,광역(시·도),,neins,,5068
EP-069,69,야생동물 질병관리 기본계획,기본계획,야생생물 보호 및 관리에 관한 법률,https://www.law.go.kr/법령/야생생물 보호 및 관리에 관한 법률,제34조의3,"https://www.law.go.kr/법령/야생생물보호및관리에관한법률/(20260512,21126,20251111)/제34조의3",5년,기후에너지환경부,기후에너지환경부장관,전국,국가,1,neins,제3차 미공표 — 계획기간 종료,1069
EP-070,70,배출권거래제 기본계획,기본계획,온실가스 배출권의 할당 및 거래에 관한 법률,https://www.law.go.kr/법령/온실가스 배출권의 할당 및 거래에 관한 법률,제4조,"https://www.law.go.kr/법령/온실가스배출권의할당및거래에관한법률/(20260429,21071,20251028)/제4조",5년,기후에너지환경부,정부,,국가,1,neins,차수는 이행연도(계획기간) 기준 — 수립 시점은 각각 2014·2017·2020·2025년,1070
EP-071,71,국가 배출권 할당계획,기타,온실가스 배출권의 할당 및 거래에 관한 법률,https://www.law.go.kr/법령/온실가스 배출권의 할당 및 거래에 관한 법률,제5조,"https://www.law.go.kr/법령/온실가스배출권의할당및거래에관한법률/(20260429,21071,20251028)/제5조",미규정,정부(관계부처 합동),정부,,국가,,neins,,7071
EP-072,72,빛공해방지계획,기타,인공조명에 의한 빛공해 방지법,https://www.law.go.kr/법령/인공조명에 의한 빛공해 방지법,제4조,"https://www.law.go.kr/법령/인공조명에의한빛공해방지법/(20251001,21065,20251001)/제4조",5년,기후에너지환경부,기후에너지환경부장관,,국가,,neins,,7072
EP-073,73,시·도 빛공해방지계획,기타,인공조명에 의한 빛공해 방지법,https://www.law.go.kr/법령/인공조명에 의한 빛공해 방지법,제5조,"https://www.law.go.kr/법령/인공조명에의한빛공해방지법/(20251001,21065,20251001)/제5조",미규정,지방자치단체,특별시장ㆍ광역시장ㆍ특별자치시장ㆍ도지사ㆍ특별자치도지사,시도,광역(시·도),,neins,,7073
EP-074,74,공원기본계획,기본계획,자연공원법,https://www.law.go.kr/법령/자연공원법,제11조,"https://www.law.go.kr/법령/자연공원법/(20260707,21848,20260707)/제11조",10년,기후에너지환경부,기후에너지환경부장관,,국가,1,neins,정식 명칭 「자연공원기본계획」,1074
EP-075,75,국립공원계획,기타,자연공원법,https://www.law.go.kr/법령/자연공원법,제12조,"https://www.law.go.kr/법령/자연공원법/(20260707,21848,20260707)/제12조",미규정,기후에너지환경부,기후에너지환경부장관,,국가,,neins,,7075
EP-076,76,도립공원계획,기타,자연공원법,https://www.law.go.kr/법령/자연공원법,제13조,"https://www.law.go.kr/법령/자연공원법/(20260707,21848,20260707)/제13조",미규정,지방자치단체,시ㆍ도지사,,광역(시·도),,neins,,7076
EP-077,77,군립공원계획,기타,자연공원법,https://www.law.go.kr/법령/자연공원법,제14조,"https://www.law.go.kr/법령/자연공원법/(20260707,21848,20260707)/제14조",미규정,지방자치단체,군수,,기초(시·군·구),,neins,,7077
EP-078,78,공원별 보전·관리계획,관리계획,자연공원법,https://www.law.go.kr/법령/자연공원법,제17조의3,"https://www.law.go.kr/법령/자연공원법/(20260707,21848,20260707)/제17조의3",10년,기타 수립주체,공원관리청,시도,개별시설·사업,,neins,,2078
EP-079,79,순환경제기본계획,기본계획,순환경제사회 전환 촉진법,https://www.law.go.kr/법령/순환경제사회 전환 촉진법,제10조,"https://www.law.go.kr/법령/순환경제사회전환촉진법/(20260219,21381,20260219)/제10조",10년,기후에너지환경부,기후에너지환경부장관,전국,국가,1,neins,수립 연구 진행 중(~2026.4). 「제1차 자원순환기본계획(2018~2027)」을 순환경제기본계획으로 간주,1079
